Q/A,QA,Category_1
answer,"AL March 31st, 2014, and these numbers are rounded, the number was one million dollars.",sno
question,"How about at the end of 2013, as of December 31, 2013, what cash did Philip Morris USA have on hand?",wh-d
answer,The number is one million dollars.,sno
question,"How about at the end of calendar year 2012, what amount of cash did Philip Morris USA, Inc. have on hand?",wh
answer,"The nuir.ber is zero at December 31st, 2012. And, again, this report is rounded in millions. So it could have been something less than $500,000 dollars as it did not round to a million.",sno
question,"Well, let me just pick an arbitrary day. How much cash did Philip Morris USA have on hand on I will just pick Valentine's Day, February 14, 2014.",wh
answer,"I don't know the answer to that question today. You know, when we prepare the balance sheet, it is done at a point in time. And it is typically at the end of a month or at the end of a calendar quarter. 0 Q. You do have an approximate idea of what Philip Morris USA had on hand when it comes to cash on any given day, do you not?",dno
question,Don't you find that to be somewhat of a coincidence that both of those dates show a million dollars?,bin
question,"Well, at a point in time it is true, is it not, sir, that Altria sweeps the cash out of Philip Morris so that there is no more than approximately a million dollars in cash inside of Philip Morris USA; true?",bin-d
question,"So then when you say you have to evaluate all of these things concerning Philip Morris USA's ability to pay a punitive damages award, and you included in that its cash on hand, that whole question has kind of already been taken care of, hasn't it?",bin-d
question,An obligation that may come about.,sno
answer,"There are accounting rules regarding contingencies, and it would depend on the circumstances. If you are talking about litigation expense, as an example, the accounting practice that Philip Morris USA follows is in working with counsel, they determine if an event is probable and can it be reasonably estimated before they record something on the books.",sno
question,"Mr. Simmons, why does Philip Morris USA pay dividends to its sole shareholder, Altria Group, Inc.?",wh
answer,"Altria Group, Inc. is the sole shareholder of Philip Morris USA. And as a sole shareholder, Philip Morris USA provides a dividend to, to Altria Group, Inc.",sno
question,"As a sole shareholder, like any shareholder, does Altria Group, Inc. have an expectation of a return on its investment in Philip Morris USA?",bin
question,"Does Altria Group, Inc. have shareholders itself?",bin
answer,"Yes, they do.",y
question,"Is Altria Group, Inc. what is considered to be a public company?",bin
answer,"Yes, they are.",y
question,"So can you describe the types of shareholders that own the shares of Altria Group, Inc.?",wh
answer,"There are a variety of different types of shareholders. There can be individuals, major institutions, financial institutions, 401(k) plans, pension plans, government agencies, retirement plans, a variety of, of investors have stock ownership in Altria.",sno
question,"If Philip Morris USA did not pay the dividends it has paid to Altria Group, Inc., would Altria Group, Inc. have had less available to pay dividends to its shareholders?",bin-d
question,"And your answer was, sir? Could you repeat the question to me, please?",bin
answer,Yes,y
question,"Mr. Cabaniss asked you some questions about the expert disclosure that Philip Morris USA's attorneys served in this case. And I believe he focused on some language in that disclosure. And I think he just said paragraph 2, and I am just 0 paraphrasing based on my notes. He focused on language related to net worth and total stockholders' equity. And I believe 3 that paragraph also talks about financial 4 statements. Are you prepared to discuss Philip Morris L USA's financial statements?",bin-d
answer,"Yes, I am.",y
question,And could you describe the relationship among the various financial statements that Philip Morris USA prepares and reports in the SEC filings?,wh
answer,"Well, there are three principal financial statements. There is the statement of cash flows, which covers an historical period, which effectively reconciles changes in cash from one period to the next period. There is the profit and loss or the income statement, which determines the net income of the company, which is the function of looking at revenues minus expenses over an historical period of time. And the statement of cash flows and the income statement, they together feed into the balance sheet of the company, which gives you the net worth of the company at a point in time. And the balance sheet reflects the assets of the company and its liabilities. And the assets less the liabilities give you the net worth of the company at a point in time. 4 Q. What are a company's assets, generally 5 speaking?",sno
question,Are the assets on Philip Morris USA's balance sheet all assets or things that the company owns that can easily be converted to cash?,bin
answer,"No. Tobacco and packaging materials and the equipment, the buildings, the factories, that's the book value or asset value. At a point in time if they had to be converted to cash, they probably would be worth a lot less.",n-d
question,You also mentioned liabilities. What are liabilities?,wh-d
answer,"Liabilities are payables or obligations that the company has, payments that it has to make for things that expenses that it has incurred.",sno
question,Do liabilities include things such as master settlement agreement payments and other settlement agreement payments?,bin
answer,"Yes. They include regulatory payments, master settlement expenses, taxes, taxes payable, federal, state, FDA expenses, et cetera, so the liabilities of the company are reflected on the balance sheet.",y-d
question,So is it fair to say that the net worth reflects the amount the company owns minus the amount that it owes?,bin
answer,"That is correct, at a point in time.",y
question,At a point in time.,sno
question,"Mr. Simmons, you were asked some questions about dividends paid by FM USA to Altria Group and in turn about the shareholders of Altria 0 Group. Let me ask you with respect to the John 2 Middleton Company, cigar company, what sort of 3 payments, profits, did the John Middleton Cigar 4 Company make to the Altria Group during calendar 5 year 2013?",bin-d
question,"Can you give me an idea of what that amounts to? In other words, if"" it goes through Philip Morris USA, and then Philip Morris USA pays its money over to Altria Group, how much of that does Middleton account for, percentage-wise, just the range?",wh-d
question,"Well, what do you mean by ""small""?",wh
answer,"I don't have an exact number. But the dividends that are paid to Altria Group, Inc., the majority of those dividends are Philip Morris USA.",sno
question,"Well, but I understand. They have to be Philip Morris USA because Middleton, John Middleton Company doesn't pay directly to Altria Group, correct?",bin-d
answer,Correct.,y
question,"You used the term ""small."" In other words, a small contribution from John Middleton, and I just want to have an understanding, and I think all the folks would, of what what you mean by ""small.""",wh
question,What's volume mean?,wh
answer,Units that are sold to the customers of Philio Morris USA and John Middleton.,sno
question,I am not talking about units. I am talking about my --,incomplete
answer,"Okay. Well, you asked me to give you some perspective on small, and looking at things on a unit basis, which I can tell you that, and that data is also presented in the 10-K and 10-Q, on a percentage basis, it is less than 1 percent.",sno
question,"Now, how about U.S. Smokeless Tobacco?",qo
answer,What is the question regarding U.S. Smokeless Tobacco?,wh
question,Do they make payments directly to Altria Group?,bin
question,All right. this overall picture?,bin
question,"What kind of dividends, what kind of payments do they make to Altria Group as related to Philip Morris USA?",wh
answer,"I don't have direct responsibility for the dividend payments, but that is a separate wholl""-owned subsidiarw that does make dividend payments to Altria Group, Inc./ so I don't know what those amounts are.",sno
question,Are you saying you don't have any kind of sense of what the U.S. Smokeless Tobacco contributes to Altria's overall picture?,bin-d
question,"Well, now you have had the occasion, have you not, sir, to review Altria Group's financial information, its filings and all of that sort of thing?",bin-d
question,"Well, how about the proxy statement?",wh
answer,I do not have direct responsibility for the proxy statement and its preparation. 4 Q. I didn't ask whether you had direct responsibilities for its preparation. I have simply asked you whether or not you have reviewed Altria Group financial documents. And I would assume the answer would be certainly?,dno
question,"I did not ask you, Mr. Simmons, whether or not you prepared the proxy statement, but I would assume that you reviewed the financial reports and documents of Altria Group, Do you not?",bin-d
question,"Have you done that, at any time?",bin
question,Whether or not you have responsibility for U.S. Smokeless Tobacco.,sno
question,"Yes, sir. Have you ever reviewed let's just make it 2013 financial information of Altria Group that reflects the contribution to Altria Group financially of U.S. Smokeless Tobacco?",bin-d
answer,I have reviewed select financial data for UST at varying points in time.,sno
question,What is the latest time?,wh
answer,"March 31st, 2014.",sno
question,"Now, just to get to the bottom so I can 4 conclude this deposition, what does U.S. Smokeless Tobacco contribute to Altria Group as compared to Philip Morris USA?",wh-d
question,"Yes, sir.",y
answer,And was that in revenue or income or what? What did you mean by contribution?,qo
question,"Well, why don't you just tell me everything they contribute. And if they contribute bananas, that's fine too.",wh
question,"Now, is there any other operating 2 companies for Altria Group, other than Philip Morris 3 USA and U.S. Smokeless Tobacco?",bin
answer,Yes.,y
question,What are they?,wh
answer,"There is a wine company, Ste. Michelle Wine Estates. And then there is a leasing company, Philip Morris Capital Corporation.",sno
question,"All right. What does Ste. Michelle Wine Company contribute to, to Altria Group --",wh
question,"percentage-wise, just like you gave me the estimate for U.S. Smokeless Tobacco.",sno
answer,"Again, I don't know the exact number, but what I would tell you is that it is less than 5 percent.",dno
question,And the leasing company?,bin
answer,"And that I can't answer for you today. I don't think it is very big, but I can't even give you an approximate right now. I don't have responsibility for that business.",dno
question,"Sure, I understand. And that's fair. But when you say ""not very big,"" are we in the 1 to 2 percent ballpark?",bin-d
answer,I am going to tell you that it is less than 10 percent.,sno
question,"Okay. Okay. Fair enough. So just 4 thinking over the percentages you have given me, would it be a decent approximation that Philip Morris USA, Inc. provides, I don't know, 65, percent minimum of the, of Altria Group's earnings?",bin-d
answer,"To use your numbers at a minimum, yes.",y-d
question,"And I mean it may be a bit higher too, right?",bin-d
answer,"Depending on the period, yes.",y
question,"And that contribution of Philip Morris USA, Inc. is predominantly due to the sale of cigarettes, correct?",bin-d
answer,That is correct.,y
question,"Good morning. Thank you for your cooperation in appearing remotely with me by Skype connection. My name is Philip Gerson.: I don't know, if we've ever met, but I have seen you in the past and seen you testify in the past. . And so I'd like to .just get started by asking you to state yourful1 name and your professional address?",co
answer,Sure. My name is James Figlar. I'm the senior vice ^- I'm now the senior vice-president of scientific and regulatory affairs for RAI Services Company.,sno
question,And RAI Services Company is what?,wh
answer,"It's one of the sister companies of RAI, Incorporated which is a sister company,of RJR Tobacco.",sno
question,RJR means R. J. Reynolds Tobacco?,nu
answer,Correct. R. J. Reynolds Tobacco.,y-d
question,"Okay. You've been with R. J. Reynolds Tobacco and its affiliated corporations now held under the name of this holding company RAI for how long, sir?",wh
answer,Since 2004 . . .,sno
question,". And before that? ,.",qo
answer,"I worked for Brown, and Williamson Tobacco . Company.'.....'",sno
question,For how long?,wh
answer,For about 5 years since 1999.,sno
question,"Okay. Now you have given many, many depositions in lawsuits against Reynolds where smokers or their survivors have, sued Reynolds for personal injury, sort of wrongful death allegedly caused by smoking cigarettes made by Reynolds; is that correct?",bin-d
answer,"I've testified in many cases with regard to the Engle project cases, yes.",y-d
question,And you know how many?,wh
answer,I believe I have testified in over 33 trials and have given many more than that depositions.,sno
question,Something on the order of 65 or 70 depositions?,bin
answer,"Probably, yeah.",y
question,"And you've given those depositions, have you not, in, in various capacities related to specific technical topics and also as the corporate representative of R... J. Reynolds or RAl; isn' t that correct?",bin-d
answer,"I have mostly been an expert and fact witness relying on my scientific expertise. I have occasionally given corporate rep depositions, but they would be. in the far minority compared to expert and fact testimony.",sno
question,"/ So 3'5 trials and 65 or 70 depositions. How would you generally describe the subject matter, subject matters you've been questioned about?",wh-d
answer,"Most of my testimony is, is based and relies oh my .scientific expertise around cigarette design, scientific issues related to tobacco and tobacco smoke.. That's, that's really what I'm an expert in. I certainly, can --. I have and do talk about where the company, what the company is doing currently, its current strategies, the types of products it develops. I. think it's pretty well laid out in my disclosure the topics that I have historically covered and can cover for .you todayy So I think it's pretty clear.",sno
question,". In, in preparing for the depositions that- you've given in the smokers cases, is it true that you spent about a year reviewing company documents concerning the history of Reynolds --",incomplete
answer,You were completely cut off. You're going to have to repeat your guestion. He's just frozen.,sno
question,Can you hear me now?,bin
answer,Frozen again. .,sno
question,How about now? Can you hear me now?,wh
answer,Yes.,y
question,"Okay. I'll start over with that question and I appreciate your patience with whatever technical problems we may encounter here. My question is this: . Before you gave any of these depositions, is it true that you spent about a year reviewing documents and meeting with lawyers in order to prepare?",bin-d
answer,"I mean, with regard to the amount of time in terms of calendar, that is correct. But what I would typically do or the amount of time I spent in preparation is not here, okay. I met with lawyers for about once a week for ah hour or two to discuss historical issues with regard to tobacco litigation. I would certainly spend time reviewing documents, reviewing the history of R. J. Reynolds. So between the time I was asked if I would agree to testify and the time that I took my first or gave my first deposition, that was about a year.",sno
question,"Okay. And during that time period as you've explained, you did spend adequate time, for reading arid reviewing company documents so that you could testify as a corporate .representative for the company concerning the relationship of the company with the Tobacco Industry Research Council, the Center for Tobacco. Research, The Tobacco. Institute, for example, correct?",bin-d
answer,"When I -- to answer your question, Counselor> that is not what I prepared during:that course of time before I testified. I was, I prepared'on company history to understand the science and the science behind where the, where the company had spent its time researching tobacco and design and the development of technologies and understanding the basic scientific backdrop starting in the 1940s and '50s. With regard to corporate rep deposition for specifically Duval County, I was asked and I did agree that i would prepare.to talk about, those types of issues with regard to R. J. Reynolds involvement with the Tobacco Institute, CTR and TIRC. .and the .formation thereof. That was several years ago. .'And I did prior to that testimony which took seven days as I recall of testimony, I spent a good number of. -'-; a couple of weeks as I recall going through a. large amount of documents that Plaintiff's Counsel provided for that deposition. So that is a very different scenario than the vast majority of the time that I've testified which is as an expert which is based on my reliance as a scientist and ray understanding and experience as a cigarette product developer. So it's a little bit different case, set of circumstances with regard to that. ''""'.",sno
question,So you've testified basically in both capacities. Is that hot what you're telling me?,bin-d
answer,"I have but what I'm saying is there's a very different level of preparation for what I would consider to be a corporate rep deposition than level of preparation that I require to give testimony as a fact or an expert. Typically, the way I understand in the couple of times that I've testified as a corporate rep: is materials have been provided to me ahead of time to review and I. would, prepare as the person most knowledgeable, in those specific capacities. And that's how I have historically prepared for those types of depositions.",sno
question,"Do you recall that in addition to the reference you just made to the Duval County six or seven day deposition that in fact/ I believe in the summer of 2014, you gave a deposition as a corporate . representative that was taken by Lawyer Gary. Page?",bin-d
answer,"I believe that is correct. And again, the same type of preparation occurred where. I believe Mr. Page provided materials in advance that we would cover in that deposition. That's what"" I'm familiar with. You [, know, I bring up Duval County because it's got a lasting memory.. It lasted for seven days so it's hard for me to forget the level of preparation and the. amount of time I spent with that one.",so
question,"I understand that. And without the need of going through 65 or 70 depositions and 3 0 plus trial testimonies, I --",incomplete
answer,You froze. You got to repeat. Frozen again.,sno
question,"I just muted and then unmuted my phone. Did that, did that -- ho, my Skype. Did that help the connection?",bin
answer,"It's kind of like you freeze up.. You know, it's like the you' re j.iist frozen on the screen which just happened again so.",sno
question,". Okay. You know what? I'm going to call into trie conference call and then talk'to you over the conference call and.just mute the Skype. So we'll use the Skype so that we can see each other and we'11 fely on the conference call for the audio. Hopefully that will make this go smoother and easier, okay?",bin-d
answer,Fair enough.,sno
question,Can you hear me how?,bin
question,".. Okay. I've muted trie Skype. And hopefully, that will solve the technical problem and we can continue our discussion over the conference call. Is that working for you, Mr. Figlar?",bin-d
answer,"Yes, that's fine.",y
question,"Okay. Let me ask you this. You, you have the, the title of Doctor. You're not a medical doctor, are you?",bin-d
answer,No. PhD chemist.,n-d
question,And do you prefer to be referred to as Dr. Figlar?,bin
answer,"In this, setting, .I would prefer that, yes.",y-d
question,Okay. : .,ack
answer,"'"".. In normal life, no. But in this professional. setting, then I think it's probably best.we refer to each other.as'business titles.",n-d
question,"Okay. That's fine. I just didn't want to offend you by failing to use your title. Dr. Figlar, without going through the long list of 65 plus depositions and.36 plus trial testimonies, is it fair to say that in addition to the, the long, multi-day deposition in Duval County and the more recent deposition taken by.Mr. Page that you have both in deposition and; in courtrooms testified as a corporate representative concerning the corporate knowledge of the health risks and addictive nature of smoking and the history of: the product design by Reynolds Tobacco Company?",qo
answer,"In, in court, I'm not sure about. Certainly, in, in deposition I have on occasion had served in Capacity ^s a corporate representative for RJR Tobacco on a.variety of those types of issues.",dno
question,"Okay.. .And you have, you know that you've been designated from R, J. Reynolds as the person from that company with the most knowledge on the topics of the corporate relationship between Reynolds and the TIRC, 'the- CTR and the TI,'correct?",bin-d
answer,"I know I have in the past and again, specifically as it applies to Duval County, I know for sure that was the case-.",sno
question,"Okay. I'd like to talk to you for a while now about some of, some of that history.. No doubt both as a scientist and as a prior corporate representative witness, you have'been questioned about-the earliest scientific reports of a potential link between cigarette smoking and cancer back in the 1950s. Is that.a fair statement,' sir?",bin
answer,"I am certainly familiar with the scientific history so, yeah. If you want me to talk about specific articles or papers or literature, I'll do my best to answer your gu.estions.",sno
question,". Okay. Prior to the mouse painting study by Winder and Graham that came out in December of 1953, was it Reynolds Tobacco Company's belief or opinion that the use of its products by smokers caused cancer?",bin-d
answer,". I wouldn,'t characterize their position as being that- I think their position was they I don't know that they necessarily held a position on that prior to say. 1953, '54 in terms of a public position. So I don't, know.:. I mean, prior to ,the Frank Statement, . I: don't know that they would have had a, a strong position one way or another.",sno
question,"Would it be fair to say that so far as you know,."" they didn't know one way or the other?. MR, LATHAM: Objection to form.",bin-d
answer,"I wouldn't say they wouldn't know. I think, I think I would characterize it as certainly the people that were in charge of the company, R. J. Reynolds and other companies, Were certainly aware of certainly the, at least some of the science and the accusations around cigarettes.. I mean/ it had been talked about . for a long period of time. Certainly, I mean, going back decades, if not centuries, in terms', of accusations around smoking. But. I think, you know/ starting in the, in the, in the early 1950s is when a lot of/ much more strong'science particularly . epidemiology and as you mentioned mouse skin painting really started to. surface at that time.",sno
question,"So in the, in the '40s and before the mouse painting study and the epidemiology came.out, Reynolds didn't have a corporate belief or conviction that smoking cigarettes was the cause of any kind of cancer, did it?",bin-d
answer,"I wouldn't say that they would have at that time, no. .",n-d
question,Okay. Did they think that it was harmful in any way?,bin
answer,"You know, I don't know prior to, prior to as I said before:the Frank Statement,. I'm not, I'm not sure, what types of corporate position's they would have had. You know., that's going back what, over 60, 70 years. At this point, we're talking almpst 100 years.worth o f . history. R. J, Reynolds was founded in 1875. So you're talking about a pretty old company.",dno
question,"Weil,. I Understand that, . of course'. And what I'm getting at is simply R;. J. Reynolds in the '40s and even through the '50s would not have advertised its cigarettes with nationally popular athletes and entertainers if it believed that the.cigarettes were harmful, would it?",bin-d
answer,"I don't know. You. know, I'm not.a marketing expert. I have some understanding of what our corporate marketing policies, have been over the years, but I'm not, I'm not a marketing guy.",dno
question,"Well, I'm not asking you. for a. marketing opinion. I'm just asking'you if the, if the company would have with.knowledge, that its product was harmful promoted it with the kinds of advertising that- I know that you're familiar with that was commonly.used: in the 1940s and the 1950s?.",qo
answer,"Again, I don't know what the, what the rationale would have been, I'm riot, I'm not a marketing expert.",dno
question,"Well, I'm not asking you about the marketing because we know what the marketing was: What I'm. asking yOu is what Reynolds knew or believed at.the time, about the potential, harms Of its products, if any?",wh-d
answer,I --. . .,incomplete
question,"Well, so far as you know, go ahead. You can answer it to the extent you can.",sno
answer,"I mean, I think I've, I think I've expressed to you the corporate position as I understand what the . Frank- Statement was is that at that time, the companies did not believe that their product was injurious to health. I believe I've seen the Frank Statement enough times, I have significant reasons to believe based on the information, that I've read, in the past that the people believed that that was a true statement.. ""'",sno
question,"Okay. I have.the Frank Statement marked as an exhibit and I'm happy to show it to you if you would like to.see it. It's Exhibit 19, but I think based on your, your last statement that you're sufficiently familiar with it so that I'm ready to just go forward with some questions. If you want to see it though, please ask, okay?.",bin-d
answer,"Well, I would prefer to have it in front of me.",sno
question,"Okay, ail right.",ack
answer,Okay.,ack
question,"So just tell me .what your, from your own knowledge and your own research and investigation you understand the purpose of the. Frank Statement to be?",wh
answer,"Well, I think the purpose of the Frank Statement was the companies had got together after a . variety of reports were showing up in both the popular press as well as the scientific'press to talk about what, what they felt the state of the science, was. Because at that time while there were the mouse.skin painting results that had come out and the first epidemiology had come out, there were a number of scientific authorities that didn't necessarily think that the case.was, was shut in terms of relationship between smoking, and health. ; The other purpose -- so they wanted to say what their, what the, the Frank. Statement is really talking about what they feel the current state of knowledge is. But the other purpose of the Frank Statement was to announce the formation of the Tobacco Institute Research Council, excuse me, the Tobacco Industry Research Council where the companies had pledged to spend a significant amount of money in research to .try to make a firm determination on smoking and health-related issues and that's the other part of this advertisement that ran in a.number of newspapers.-",sno
question,"So is it a fair reading of the:Frank Statement to say that, that Reynolds and the other companies that joined in it said that there was. no proof that cigarette snicking was a cause of lung cancer?.",bin
answer,"They, they use that terminology in here. Of course, what- they're meaning is there's not adequate scientific proof to establish that causal link. And indeed at that time in the/ in the early to mid-1950s, the convention in terms of understanding'causal relationships especially for chronic diseases, a ""number of lines of evidence were.required to point to that and they.had not been at that point fulfilled. So I think that was a fair statement at that time.",sno
question,"And together with the other companies that joined in the Frank Statement, Reynolds did not believe that the products they made were injurious to health in general, correct?",bin-d
answer,"They did state that. They stated that belief that at that time they believed that their products were not injurious to health. That, is correct.",bin-d
question,"And so. far as you know, was that true at the time they said it?",bin
answer,"Well, I mean, with the, with the benefit of looking back in history, I would not agree with that. But I think at that time, they certainly believed that and the amount of science that was available in terms of providing that a surety of evidence, I think they believed it and I think they had good reason to believe that.",sno
question,And do you think that they had the same belief about laryngeal cancer and emphysema even though those exact diseases were not mentioned expressly in the Prank Statement?,bin-d
answer,"I would, I would think that's a fair assessment, yes.",y-d
question,"And so what they were then promising the, the public was that they would create the Tobacco Industry Research Committee and commit research dollars to try and get to the bottom of it and learn more and try.and find out definitively if their products were.injurious tp health. Is that a fair characterization of what the pledge-was at the time?",bin-d
question,"Okay./ And together with, with Reynolds/they were joined by,' as. the Frank Statement.itself says,, they were joined by the chief executives of 8 or other tobacco companies that were the most prominent in the industry at the time; is that correct?",bin-d
answer,"Well, you had tobacco companies. You had Bright Belt Warehouse Association.- You had Growers Associations. You had, you know, both smokeless and cigarette, tobacco companies. So it was a, you know, fairly long list of most folks who were in the tobacco industry at that, time but not just cigarette companies.",sno
question,"'.- But including all the cigarette companies . except fori Liggett and Meyers-, correct?",bin-d
answer,.1 don't --'-.,incomplete
question,"Okay. And Lorillard Tobacco Company also became part of Reynolds recently, did it not?",bin-d
answer,"Just last year, yes.",y-d
question,".. And Benson and Hedges became part of Philip Morris, did it not?",bin-d
answer,"I presume so because Benson and Hedges, the cigarette brand, is mahufactured by Philip Morris. I believe I know that..",sno
question,"Okay. So to carry out the, the pledge of the Frank Statement, what did the Tobacco Industry Research Committee begin doing in 1990 - in 1954 and moving forward through that decade?",wh
answer,"Arid again, I would say, you know, this is going to be based on memory since/ really since Duval County- So that we're talking three or.four years ago. But, you know, as I recall, the companies committed to put forward the TI-RG and the, one of the functions was going to be a grant and aid kind of committee to study issues related to tobacco use and particularly smoking and health-related issues. So they, they all, all the companies basically pledged money and research was conducted. As I recall, hundreds of millions of dollars of research was conducted by the, by the- TIRC later to'be CTR to a variety of institutions and professors and well known scientists and lots of peer.reviewed.articles appeared and it studied a whole variety of subjects. ""A lot of time spent looking at mechanistically how is cancer formed because that was one of,the,.kind of one of the lynch pins in terms of cause and effect but a variety of things. Animal.models were or tried to be developed, another lynch pin. -So a lot of time, money and effort was spent in research that was funded through TIRG later CTR.",sno
question,"You referenced later CTR and just -- I think you and I both know what that acronym stands for. But in.case there are others that don't,: it's true, is it nof, that the Tobacco Industry Research Committee or TIRC later branched off into two other organizations, one called the CTR, the Center for Tobacco Research, arid the other called the TI or. The Tobacco Institute, Correct? A- That is correct, yes.",bin-d
question,"And the, the membership included Reynolds all the way through until those organizations were disbanded around the year 2000. is that also correct? ...A It. was .199-8. as I recall,''but I. believe that is correct. R. J. Reynolds was a member throughout that timeframe.",bin-d
question,"And so were the other companies that R. J.. Reynolds acquired prior to the time that R.' J. Reynolds acquired them, correct?",bin-d
answer,"I don't know that that's true, I thought perhaps- American Tobacco Company did hot participate for some period of time or for some years. Again> I would have to prepare and look back to know all that tenure. I can tell you about Reynolds - That would, be correct",dno
question,": Okay. And so -- MR, LATHAM: Mr. Gerson, Mr. Gerson, I need- to take a, I need to take a. short break and call Frank Baek because apparently you just served a deposition notice.within the last few minutes, at least the filing date is 10:52 a.m., suggesting . that this deposition is taken pursuant to Florida Rule of Civil Procedure .1.310 B-6. We do. object to that and I want to call Mir.. Baek and talk, about what he wants to do given this recent event that just happened a minute ago. So let's take a break so I can do that.",sno
question,"Okay. Mr. Figlar, Dr. Figlar, I apologize to you for all that lawyer banter, but we're ready to, to go forward now. Would it have been Reynolds' policy historically to-, have admitted publicly-that its products were causing laryngeal cancer or other morbid diseases if it believed that was true?",or
answer,I don't know if they would have had a policy on. that or not. .,dno
question,"Well, what, what's your feeling on that? What's,your, what would your personal policy be on that? If a company knows that its products are . causing a disease, should it admit that publicly?",wh
answer,"I mean, are you asking me as. a -- I'm not quite sure I -- are you asking me my personal opinion?.",confront
question,"Yeah. I'm asking your view,, your view. I mean, and in the capacity In which you are here as' an officer of the Defendant..",y-d
answer,"You know, my personal opinion would be I would think that if a, if a company knows that it has or if a company knows it has a product thatTs dangerous, then I think they have some responsibility to, to inform people of that. I don't think it's unreasonable for corporations to have that either. That's my personal, opinion.",sno
question,"And so in the.1950s starting with the, the Frank Statement that you've made reference to before, was Reynolds merely telling the public that it didn't know whether its product or .so far as it knew, its product was not the cause of any disease but that it together- with other tobacco, compani.es was going to. try and fund, research, to find out?",bin-d
answer,"I mean, I think that the .the scientific situation in the '50s is pretty clear. I think that the tobacco companies had a very similar view as the National Cancer Institute had at that time. National Cancer Institute/ I'm sure you're aware, did not believe that, that cigarette smoking could, be linked causally to cancer. In fact, T think at various points in time,- they even questioned whether or not the epidemiology was solid enough to say there was a statistical association. Later in the '50s, that, that was cleared up. I think it's fair to .say that at that time in the 1950s,, it was hot --- the science was not that compelling for people to say for sure that there was a strong.either A, association or B, a causal relationship between cigarette smoking and lung cancer. There were a lot of questions at that time.",sno
question,"Okay. And between this point in time, 1953, and the year 2GOO, was Reynolds studying the, the suggestion that cigarette smoking was a cause of cancer?",bin-d
answer,"Well, I mean, I don't -- I think what Reynolds did is spent ah awful lot of time-working on product alterations with that operating premise in mind. The variety, the- variety of- things that had occurred' between the 1950s and the year 2000, a -whole variety of technologies were developed which, you know.., in their implementation would in theory follow what public health advice would have been around.trying to deal with that public health issue. Whether it was lowering, lowering tar and nicotine yields, coming up with different filtration technologies or developing something that we, that Ri J. Reynolds developed called Premier which is a heat mount burn product. So I think to answer your guestion, it would be yes. They spent a good deal of time on a product, from a product design perspective using that as an operating premise.",dno
question,"Using what as ah operating premise? State the premise, please.",wh
answer,"The operating premise was that whether or not - you could definitively provide a cause and effect relationship to say cigarette smoking and lung cancer, what'you could -- what you could presume is that if it's true, what should you do to the product to try to alleviate that. And.that is what Reynolds- did is while they did not necessarily agree that there was enough evidence to scientifically establish cause and effect relationship that did hot stop them from significantly altering the product in such a way- as to ameliorate that potential problem.",sno
question,"Well, was there some point in history between the early '50s and now when Reynolds accepted the fact that there was a causal link between cigarette smoking and laryngeal cancer?",bin
answer,"I mean, I, I think certainly in 2000, R. J. Reynolds was much more firm in the language that it used to communicate its-position oh smoking and health. It was certainly less ambiguous, less scientific in. the way it was trying to describe its position. Prior to that,. R. J. Reynolds, and other companies would have relied on a much more, I think I've said before, more egg-headed, kind of scientific description of what they believed the state of the science' was. Using terms like possible risk factor or major risk factor in the development of such and such disease for certain individuals. There were very kind of prescriptive in terras of what they believe the science justified. I think in my opinion that position, that company.position was not well understood and certainly misinterpreted, excuse me, misinterpreted..",sno
question,"Misinterpreted by whom? A'.;.. By a variety of .-- certainly folks like yourself, but potentially folks in.public health as well. '.",wh
question,"So in, in the 1950 -- in the later part of the 1950s after, the TIRC had been operating for a few years, did, did its public disclosures admit that there.was any convincirig evidence that cigarette smoke was causing diseases?",bin-d
answer,"I mean, I think my, my, my memory or my recollection of this timeframe is certainly very few. either scientific bodies or public health officials in the 1950s would, would have definitively said that there was a firm cause and effect relationship. I know there was a few but a number of people would not have, have gone that far in making that assessment. I think the, that assessment was made certainly for men in 1964 with the Surgeon General's report but not prior to'that.",sno
question,"Well, what -- I'm sorry. Have you finished?",bin
answer,I did. I'm sorry if I kind of rambled on there a. bit,y-d
question,"Didn't, didn't the TIRC in the late '50s,.; 1958 in particular, argue publicly that.there was no proof that cigarette smoking was the cause of any disease?",bin-d
answer,"My again., my memory with regard to these issues would be their, their position would, be through the * 50s that they would recognize that' there was a statistical association, i.e.., the epidemiology. They would have recognized because by the late 1950s, I believe a humbef of people were able to replicate the mouse skin painting results although it took some time before that could happen.. That they would have said there's not an explanation as to why that is the case. So therefore, cause and effect had not been established because you can't make a leap of faith to say that mouse skin is the same as human lung for lung cancer reasons and that statistics, never proved.cause and effect. So that would have been their position. So there, there was a lack of evidence in that timeframe and that would have been their position as I recall it. .",sno
question,". Didn't, didn't the TIRC say in 1958 in its. tobacco and health publication--that' there were statistics that actually contradicted the claim that . cigarette smoking was harmful?",bin-d
answer,"I don't know. As I sit here, I don't recall that.-",dno
question,Okay.,ack
answer,I'm not saying it's not true. I just don't know. I just don't remember. I don't have that- information.,dno
question,Okay. Okay. Are you familiar with any of the Reader's Digest articles which claimed in general that cigarette smoking was a cause of cancer pi otherwise harmful to health?,bin
answer,"I remember reading a number of Reader's Digest articles but if you're going ask me to try to regurgitate that information that I have not looked at in maybe four years or so, it's going to be difficult.",sno
question,Do you know who JameS P. Richards was?.,bin
